Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
35;29;Glenn Arthur;Kanebog;M;NOR;Circle K Evenes;FE3;M Sport 17+;9:40.8;3:42.4;2018-09-23T15:35:04.1830000;Harstad
36;31;Lars-Erik M.;Solheim;M;NOR;De Utrente!;FE3;M Sport 17+;9:45.2;3:46.8;2018-09-23T15:40:08.8050000;Harstad
37;30;Gaute;Risnes;M;NOR;CK Elverum;FE3;M Sport 17+;9:48.1;3:49.7;2018-09-23T15:33:12.2640000;Elverum
38;36;Marius;Stamnes;M;NOR;Harstad CK;FE3;M Sport 17+;9:57.9;3:59.5;2018-09-23T15:33:52.5150000;Harstad
39;37;Tor Anders;Grøvan;M;NOR;Harstad CK / Peab;FE3;M Sport 17+;9:59.1;4:00.7;2018-09-23T15:32:53.4130000;Harstad
40;49;Gøran;Knaplund;M;NOR;Ishavsbyen Sykkel;FE3;M Sport 17+;10:16.9;4:18.5;2018-09-23T15:40:11.7240000;Tomasjord
41;25;Roger;Berge;M;NOR;HARSTAD;FE3;M Sport 17+;10:20.2;4:21.8;2018-09-23T15:34:44.4750000;Harstad
42;100;Ole Morten;Tunes;M;NOR;Harstad CK / Testløper HCK Enduro;FE3;M Sport 17+;13:47.6;7:49.2;2018-09-23T15:09:29.5260000;Harstad
43;28;Christoffer;Borge Olsen;M;NOR;Aron Skiklubb / Aron SK;FE3;M Sport 17+;15:42.7;9:44.3;2018-09-23T15:43:06.8680000;Mjøndalen
44;62;Torben;;M;NOR;Tromsø Enduro;FE3;M Sport 17+;0:00.0;;;Tromsø
44;32;Anders;Lagerstrøm;M;SWE;Equinor BIL;FE3;M Sport 17+;0:00.0;;;Harstad
46;35;Ørjan;Bohinen;M;NOR;Harstad CK;FE3;M Sport 17+;0:00.0;;;Harstad
46;40;Ronny;Iversen;M;NOR;Harstad CK;FE3;M Sport 17+;0:00.0;;;Harstad
46;43;Emil;Lerdahl;M;NOR;Harstad CK;FE3;M Sport 17+;0:00.0;;;Harstad
46;50;Kenneth;Nilsen;M;NOR;Krokbekken Stisykkelforening;FE3;M Sport 17+;0:00.0;;;Bardufoss
46;16;William;Salminen;M;NOR;HARSTAD;FE3;M Sport 17+;0:00.0;;;Harstad
46;27;Geir-Olav;Skogstad;M;NOR;HARSTAD;FE3;M Sport 17+;0:00.0;;;Harstad
46;51;Alexander;Solem;M;NOR;Krokbekken Stisykkelforening;FE3;M Sport 17+;0:00.0;;;Bardufoss
46;22;Bjørn-Tore;Wik;M;NOR;HARSTAD;FE3;M Sport 17+;0:00.0;;;Harstad
