Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
52;61;Knut Espen;Bryhn;M;NOR;Drøbak-Frogn IL Sykkel;SS3;Menn;05:59;02:17;2014-08-03T14:06:59.3240000;DRØBAK
53;55;John;Magee;M;NOR;Statoil;SS3;Menn;06:01;02:19;2014-08-03T14:01:01.8230000;OSLO
54;50;Stian;Wold;M;NOR;DRAMMEN;SS3;Menn;06:07;02:25;2014-08-03T13:56:07.3350000;Drammen
55;56;Even;Windju;M;NOR;TRYSIL;SS3;Menn;06:15;02:33;2014-08-03T14:02:15.4930000;TRYSIL
56;58;Robert;Torp;M;NOR;Gresvik IF;SS3;Menn;06:17;02:35;2014-08-03T14:04:17.3700000;Fredrikstad
57;59;Henrik;Sagen;M;NOR;BERGEN;SS3;Menn;06:17;02:35;2014-08-03T14:05:17.7500000;bergen
58;51;Ola;Engene;M;NOR;VESTFOSSEN;SS3;Menn;06:20;02:38;2014-08-03T13:57:20.9900000;VESTFOSSEN
59;65;Kent;Gundersen;M;NOR;Skogens Konger;SS3;Menn;06:29;02:47;2014-08-03T14:11:29.7770000;Lierstranda
60;82;Joachim;Venberget;M;NOR;KONGSBERG;SS3;Menn;07:01;03:19;2014-08-03T14:29:01.7790000;KONGSBERG
61;75;Stian;Bergeland;M;NOR;Oppdal SK;SS3;Menn;07:04;03:22;2014-08-03T14:21:04.1810000;OSLO
5;63;Aleksander;Østerhus;M;NOR;Kristiansands CK;SS3;Menn junior;07:58;04:16;2014-08-03T14:10:58.0110000;KRISTIANSAND S
1;42;Stina;Bondehagen;F;NOR;OSLO;SS4;Kvinner;06:32;00:00;2014-08-03T14:48:32.3410000;Oslo
2;53;Alice;Grindheim;F;NOR;Drammen CK / Team Ibis;SS4;Kvinner;06:53;00:21;2014-08-03T14:59:53.5190000;Oslo
